ClaseID,Curso,ProfesorNombre,ProfesorApellido,Año,Semestre
1,"Curso Totam 83",Anna,Barbero,2024,Otoño
2,"Curso Illum 11",Octavio,Leon,2024,Primavera
3,"Curso At 98",Rosario,Cruz,2024,Otoño
4,"Curso Inventore 32",Irene,Pozo,2025,Otoño
5,"Curso Omnis 4",Encarnacion,Valle,2023,Otoño
6,"Curso Tenetur 12","Eva María",Coronado,2024,Primavera
7,"Curso Quis 13",Joaquina,Belda,2024,Primavera
8,"Curso Omnis 24",Encarnacion,Valle,2024,Otoño
9,"Curso Repudiandae 89",Chelo,Haro,2024,Otoño
10,"Curso Molestiae 74",Ruperta,Porras,2024,Otoño
11,"Curso Autem 71",Narcisa,Calvet,2025,Primavera
12,"Curso Harum 6","Juan Pablo",Galiano,2025,Primavera
13,"Curso A 36",Cecilio,Martinez,2025,Otoño
14,"Curso Sit 30",Eusebia,Murcia,2024,Otoño
15,"Curso Aliquid 88",Ruperta,Porras,2025,Otoño
16,"Curso Molestiae 74",Clemente,Chico,2024,Primavera
17,"Curso Tempora 92",Diana,Martorell,2024,Primavera
18,"Curso Veritatis 34",Esther,Castellanos,2025,Otoño
19,"Curso Distinctio 9",Anselma,Cuevas,2023,Otoño
20,"Curso Deserunt 95",Máxima,Vazquez,2023,Primavera
21,"Curso Quo 66",Esteban,Ledesma,2025,Primavera
22,"Curso Architecto 20",Chelo,Prado,2024,Otoño
23,"Curso Architecto 20",Irene,Pozo,2023,Otoño
24,"Curso Magnam 16",Donato,Tello,2023,Otoño
25,"Curso Ea 72",Diana,Martorell,2023,Otoño
26,"Curso Labore 48",Ariel,Prat,2025,Primavera
27,"Curso Harum 6","José Ángel",Villegas,2023,Primavera
28,"Curso Non 50",Feliciano,Llobet,2024,Primavera
29,"Curso Non 50",Donato,Tello,2024,Otoño
30,"Curso Labore 48",Glauco,Hernandez,2024,Primavera
31,"Curso Rem 99",Diana,Martorell,2023,Otoño
32,"Curso Voluptatibus 73",Isidro,Valdés,2025,Otoño
33,"Curso Beatae 79","Eva María",Coronado,2023,Primavera
34,"Curso Assumenda 55",Ildefonso,Lasa,2024,Primavera
35,"Curso Dignissimos 62",Ezequiel,Villar,2023,Primavera
36,"Curso Aliquid 88",Víctor,Soriano,2025,Primavera
37,"Curso Non 50",Heliodoro,Marin,2025,Otoño
38,"Curso Minus 67",Teresita,Lledó,2024,Otoño
39,"Curso Debitis 93","José Ángel",Villegas,2024,Otoño
40,"Curso Alias 76",Esmeralda,Martínez,2023,Primavera
41,"Curso Aperiam 42",Elisa,Cerro,2024,Otoño
42,"Curso Ea 72",Victorino,Gras,2025,Primavera
43,"Curso Alias 76",Eusebio,Cuadrado,2025,Otoño
44,"Curso Cum 63",Octavio,Leon,2024,Otoño
45,"Curso Debitis 93",Mónica,Morante,2024,Otoño
46,"Curso Autem 71",Pánfilo,Elorza,2023,Otoño
47,"Curso Eligendi 87",Dominga,Cueto,2023,Otoño
48,"Curso Vel 38",Calisto,Delgado,2023,Otoño
49,"Curso Debitis 54",Ildefonso,Lasa,2023,Otoño
50,"Curso Expedita 10",Eusebia,Murcia,2025,Otoño
51,"Curso Eveniet 53",Eusebia,Murcia,2024,Primavera
52,"Curso Esse 68",Cirino,Herrero,2024,Otoño
53,"Curso Magnam 16",Gilberto,Carreras,2025,Otoño
54,"Curso Minima 19",Edelmiro,Bernat,2025,Primavera
55,"Curso Id 25",Eutropio,Rebollo,2025,Primavera
56,"Curso Cupiditate 85",Eusebio,Cuadrado,2025,Primavera
57,"Curso Assumenda 55",Cintia,Caballero,2025,Otoño
58,"Curso Error 81",Esteban,Ledesma,2024,Otoño
59,"Curso Error 96",Bonifacio,Sosa,2025,Primavera
60,"Curso Dignissimos 62",Joaquina,Cazorla,2024,Primavera
61,"Curso Expedita 10",Arturo,Río,2025,Otoño
62,"Curso Minus 67",Santos,Almagro,2024,Otoño
63,"Curso Dolor 49",Tristán,Calderón,2023,Primavera
64,"Curso Tempora 92",Augusto,Coll,2025,Otoño
65,"Curso Aliquid 23",Ariel,Prat,2023,Primavera
66,"Curso Minus 1",Cleto,Aller,2024,Primavera
67,"Curso Mollitia 18",Albina,Múgica,2025,Otoño
68,"Curso Blanditiis 57",Cintia,Caballero,2023,Otoño
69,"Curso Omnis 4",Eusebio,Cuadrado,2024,Otoño
70,"Curso Suscipit 75",Joaquina,Belda,2025,Otoño
71,"Curso Assumenda 84",José,Carrasco,2023,Otoño
72,"Curso Suscipit 75",Filomena,Pla,2025,Otoño
73,"Curso Eveniet 22",Saturnina,Moliner,2024,Primavera
74,"Curso Eveniet 53",Onofre,Godoy,2023,Primavera
75,"Curso Adipisci 78",Diana,Martorell,2024,Otoño
76,"Curso Voluptatibus 73",Narcisa,Calvet,2025,Otoño
77,"Curso Error 96",Glauco,Hernandez,2025,Otoño
78,"Curso Aut 29",Leonardo,Villalba,2023,Primavera
79,"Curso Vero 60",Alejo,Barba,2024,Otoño
80,"Curso Beatae 79",Teresita,Lledó,2024,Otoño
81,"Curso Beatae 79",Víctor,Soriano,2023,Otoño
82,"Curso Cum 63",Teodosio,Blanes,2024,Primavera
83,"Curso Inventore 32",Odalys,Cuevas,2023,Otoño
84,"Curso Voluptate 77",Fabricio,Pereira,2023,Otoño
85,"Curso Reiciendis 90",Herminio,Baró,2023,Otoño
86,"Curso Cum 63",Severiano,Vallejo,2023,Otoño
87,"Curso Aliquid 88","Juan Pablo",Galiano,2024,Primavera
88,"Curso Maiores 21",Reinaldo,Águila,2024,Otoño
89,"Curso Esse 68",Eusebia,Murcia,2023,Otoño
90,"Curso Aliquid 23",Alba,Noriega,2023,Otoño
91,"Curso Id 25",Jimena,Román,2023,Otoño
92,"Curso Velit 40",Belén,Guzmán,2023,Primavera
93,"Curso Molestiae 74",Chelo,Prado,2023,Otoño
94,"Curso Dignissimos 62",Santos,Almagro,2023,Otoño
95,"Curso Minima 19",Cirino,Herrero,2023,Primavera
96,"Curso Incidunt 43",Encarnacion,Valle,2023,Primavera
97,"Curso Minus 67",Octavio,Leon,2023,Otoño
98,"Curso Quisquam 7",Esteban,Ledesma,2024,Otoño
99,"Curso Quo 66",Ezequiel,Villar,2023,Primavera
100,"Curso Cupiditate 85",Heliodoro,Marin,2024,Otoño
